reading_id,station_id,city,state,reading_date,reading_time,pH,turbidity_NTU,dissolved_oxygen_mg_L,BOD_mg_L,total_coliform_CFU_100mL,fecal_coliform_CFU_100mL,TDS_mg_L,nitrates_mg_L,arsenic_ug_L,lead_ug_L,fluoride_mg_L,temperature_C,conductivity_uS_cm,WQI_score,WQI_category,anomaly_flag,alert_triggered
RD-014,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-05,12:00,8.7,12.2,4.3,4.9,605,355,500,19.5,6.8,8.7,1.4,27.5,850,29.6,Very Poor,TRUE,TRUE
RD-015,CPCB-BR-001,Patna,Bihar,2026-04-01,06:00,7.8,10.2,5.4,3.1,168,92,320,14.2,2.1,3.8,0.7,25.2,612,52.8,Poor,FALSE,FALSE
RD-016,CPCB-BR-001,Patna,Bihar,2026-04-01,12:00,7.9,11.4,5.1,3.4,192,108,332,14.8,2.3,4.0,0.8,25.8,628,51.4,Poor,FALSE,FALSE
RD-017,CPCB-BR-001,Patna,Bihar,2026-04-01,18:00,8.0,12.4,4.9,3.7,218,124,348,15.4,2.6,4.3,0.8,26.2,644,49.8,Poor,TRUE,FALSE
RD-018,CPCB-BR-001,Patna,Bihar,2026-04-02,06:00,7.9,11.8,5.0,3.5,204,115,338,14.9,2.4,4.1,0.8,25.9,634,51.0,Poor,FALSE,FALSE
RD-019,CPCB-BR-001,Patna,Bihar,2026-04-02,12:00,8.0,12.6,4.8,3.8,226,130,354,15.6,2.7,4.4,0.9,26.4,650,49.2,Poor,TRUE,FALSE
RD-020,CPCB-BR-001,Patna,Bihar,2026-04-02,18:00,8.1,13.8,4.6,4.1,254,148,368,16.2,2.9,4.7,0.9,26.8,664,47.6,Poor,TRUE,FALSE
RD-021,CPCB-BR-002,Muzaffarpur,Bihar,2026-04-01,06:00,8.0,9.4,5.2,3.4,186,104,342,15.8,3.2,4.6,0.9,25.6,628,50.2,Poor,FALSE,FALSE
RD-022,CPCB-BR-002,Muzaffarpur,Bihar,2026-04-01,12:00,8.1,10.6,5.0,3.7,212,120,358,16.4,3.5,4.9,1.0,26.1,644,48.6,Poor,FALSE,FALSE
RD-023,CPCB-BR-002,Muzaffarpur,Bihar,2026-04-01,18:00,8.2,11.8,4.8,4.0,240,138,374,17.0,3.8,5.2,1.0,26.5,660,46.9,Poor,TRUE,FALSE
RD-024,CPCB-WB-001,Kolkata,West Bengal,2026-04-01,06:00,9.2,3.8,5.8,2.4,88,48,284,10.2,1.4,2.2,0.5,27.8,548,58.4,Medium,FALSE,FALSE
RD-025,CPCB-WB-001,Kolkata,West Bengal,2026-04-01,12:00,9.5,4.2,5.6,2.6,96,52,290,10.6,1.5,2.4,0.5,28.2,556,57.2,Medium,TRUE,TRUE
RD-026,CPCB-WB-001,Kolkata,West Bengal,2026-04-01,18:00,9.8,4.8,5.4,2.9,106,58,298,11.0,1.6,2.6,0.6,28.8,566,55.8,Medium,TRUE,TRUE
RD-027,CPCB-WB-003,Kolkata,West Bengal,2026-04-01,06:00,9.6,4.4,5.5,2.7,98,54,292,10.8,1.5,2.4,0.5,28.4,558,56.8,Medium,TRUE,TRUE
RD-028,CPCB-MH-001,Mumbai,Maharashtra,2026-04-01,06:00,7.2,2.1,6.8,1.4,28,14,248,8.6,0.8,1.2,0.4,26.8,488,78.4,Good,FALSE,FALSE
RD-029,CPCB-MH-001,Mumbai,Maharashtra,2026-04-01,12:00,7.3,2.3,6.6,1.5,32,16,252,8.9,0.9,1.3,0.4,27.2,494,77.6,Good,FALSE,FALSE
RD-030,CPCB-MH-001,Mumbai,Maharashtra,2026-04-01,18:00,7.1,2.0,7.0,1.3,26,12,244,8.4,0.8,1.1,0.4,26.5,482,79.2,Good,FALSE,FALSE
RD-031,CPCB-TN-001,Chennai,Tamil Nadu,2026-04-01,06:00,7.0,1.8,7.2,1.1,22,10,236,8.0,0.6,0.9,0.3,28.4,468,82.8,Good,FALSE,FALSE
RD-032,CPCB-TN-001,Chennai,Tamil Nadu,2026-04-01,12:00,7.1,1.9,7.0,1.2,24,11,240,8.2,0.7,1.0,0.3,28.9,474,82.0,Good,FALSE,FALSE
RD-033,CPCB-TN-001,Chennai,Tamil Nadu,2026-04-01,18:00,7.0,1.8,7.3,1.1,21,10,234,7.9,0.6,0.9,0.3,28.2,466,83.2,Good,FALSE,FALSE
RD-034,CPCB-KA-001,Bengaluru,Karnataka,2026-04-01,06:00,7.2,2.4,6.9,1.5,38,18,262,9.2,1.0,1.4,0.4,24.6,504,78.9,Good,FALSE,FALSE
RD-035,CPCB-KA-001,Bengaluru,Karnataka,2026-04-01,12:00,7.3,2.5,6.7,1.6,42,20,268,9.4,1.0,1.5,0.4,25.1,510,78.2,Good,FALSE,FALSE
RD-036,CPCB-GJ-001,Surat,Gujarat,2026-04-01,06:00,7.4,5.8,5.4,2.8,182,98,358,12.4,2.4,3.6,0.7,29.2,654,61.4,Medium,FALSE,FALSE
RD-037,CPCB-GJ-001,Surat,Gujarat,2026-04-01,12:00,7.5,6.4,5.2,3.0,198,110,368,13.0,2.6,3.8,0.8,29.8,666,59.8,Medium,FALSE,FALSE
RD-038,CPCB-GJ-001,Surat,Gujarat,2026-04-01,18:00,7.4,6.8,5.0,3.2,214,120,378,13.6,2.8,4.0,0.8,30.2,678,58.2,Medium,TRUE,FALSE
RD-039,CPCB-RJ-001,Jaipur,Rajasthan,2026-04-01,06:00,7.5,3.0,6.4,1.8,44,22,286,10.8,1.2,1.8,0.5,29.4,524,75.2,Good,FALSE,FALSE
RD-040,CPCB-RJ-001,Jaipur,Rajasthan,2026-04-01,12:00,7.6,3.2,6.2,1.9,48,24,292,11.1,1.3,1.9,0.5,30.0,531,74.4,Good,FALSE,FALSE
RD-041,CPCB-MP-001,Bhopal,Madhya Pradesh,2026-04-01,06:00,7.1,4.5,5.8,2.2,80,42,298,11.8,1.6,2.4,0.6,27.2,546,70.8,Good,FALSE,FALSE
RD-042,CPCB-MP-001,Bhopal,Madhya Pradesh,2026-04-01,12:00,7.2,4.8,5.6,2.4,88,48,308,12.2,1.7,2.5,0.6,27.8,556,70.0,Good,FALSE,FALSE
RD-043,CPCB-DL-001,Delhi,Delhi,2026-04-01,06:00,7.4,5.2,5.2,2.8,124,68,348,14.8,2.4,3.4,0.7,28.2,628,63.4,Medium,FALSE,FALSE
RD-044,CPCB-DL-001,Delhi,Delhi,2026-04-01,12:00,7.5,5.6,5.0,3.0,138,76,358,15.2,2.5,3.6,0.8,28.8,638,62.4,Medium,FALSE,FALSE
RD-045,CPCB-DL-002,Delhi,Delhi,2026-04-01,06:00,7.3,4.8,5.4,2.6,112,62,338,14.2,2.2,3.2,0.7,27.8,616,64.8,Medium,FALSE,FALSE
RD-046,CPCB-UP-002,Prayagraj,Uttar Pradesh,2026-04-01,06:00,7.9,8.4,5.0,3.6,288,162,402,16.8,4.2,5.8,1.1,26.8,714,44.2,Poor,FALSE,FALSE
RD-047,CPCB-UP-002,Prayagraj,Uttar Pradesh,2026-04-01,12:00,8.0,9.2,4.8,3.9,318,182,418,17.4,4.6,6.2,1.1,27.4,728,42.6,Poor,TRUE,FALSE
RD-048,CPCB-UP-003,Agra,Uttar Pradesh,2026-04-01,06:00,8.2,8.8,4.9,3.8,262,148,388,16.2,3.8,5.4,1.0,27.4,698,46.8,Poor,FALSE,FALSE
RD-049,CPCB-UP-004,Kanpur,Uttar Pradesh,2026-04-01,06:00,8.6,11.2,4.4,4.8,482,284,468,18.8,6.0,7.8,1.2,27.9,808,34.8,Very Poor,TRUE,TRUE
RD-050,CPCB-UP-004,Kanpur,Uttar Pradesh,2026-04-01,12:00,8.8,12.4,4.1,5.2,524,308,482,19.4,6.4,8.2,1.3,28.6,824,32.8,Very Poor,TRUE,TRUE
RD-051,CPCB-MH-002,Pune,Maharashtra,2026-04-01,06:00,7.2,2.6,6.7,1.5,36,17,254,8.8,0.9,1.3,0.4,24.8,496,78.6,Good,FALSE,FALSE
RD-052,CPCB-MH-003,Nashik,Maharashtra,2026-04-01,06:00,7.0,2.2,7.0,1.2,28,13,244,8.4,0.8,1.1,0.3,24.2,480,81.4,Good,FALSE,FALSE
RD-053,CPCB-TN-002,Madurai,Tamil Nadu,2026-04-01,06:00,7.1,2.0,7.1,1.2,24,11,238,8.1,0.7,1.0,0.3,30.2,470,82.4,Good,FALSE,FALSE
RD-054,CPCB-KA-002,Mysuru,Karnataka,2026-04-01,06:00,7.0,1.8,7.4,1.0,18,8,228,7.6,0.5,0.8,0.3,23.8,454,84.8,Good,FALSE,FALSE
RD-055,CPCB-GJ-002,Ahmedabad,Gujarat,2026-04-01,06:00,7.3,4.8,5.6,2.6,148,82,348,13.4,2.2,3.2,0.7,30.8,634,64.2,Medium,FALSE,FALSE
RD-056,CPCB-RJ-002,Jodhpur,Rajasthan,2026-04-01,06:00,7.7,3.4,6.0,2.0,52,26,298,11.4,1.4,2.0,0.5,32.4,540,73.6,Good,FALSE,FALSE
RD-057,CPCB-MP-002,Indore,Madhya Pradesh,2026-04-01,06:00,7.2,4.2,5.9,2.2,74,38,288,11.4,1.5,2.2,0.6,28.4,536,71.8,Good,FALSE,FALSE
RD-058,CPCB-OR-001,Bhubaneswar,Odisha,2026-04-01,06:00,7.1,3.2,6.4,1.8,54,28,268,9.8,1.2,1.6,0.4,28.8,512,75.4,Good,FALSE,FALSE
RD-059,CPCB-AS-001,Guwahati,Assam,2026-04-01,06:00,6.9,4.6,5.8,2.4,86,46,308,12.6,1.8,2.6,0.6,26.4,558,69.8,Good,FALSE,FALSE
RD-060,CPCB-PB-001,Amritsar,Punjab,2026-04-01,06:00,7.4,3.6,6.2,1.9,58,30,278,10.4,1.3,1.9,0.5,22.8,528,74.8,Good,FALSE,FALSE
RD-061,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-06,06:00,8.5,10.5,4.7,4.4,532,318,484,18.6,6.3,8.2,1.2,26.6,824,31.8,Very Poor,TRUE,TRUE
RD-062,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-07,06:00,8.6,11.2,4.4,4.7,568,336,494,19.0,6.6,8.5,1.3,26.9,838,30.6,Very Poor,TRUE,TRUE
RD-063,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-08,06:00,8.8,12.0,4.2,5.0,614,362,506,19.6,6.9,8.9,1.4,27.4,852,29.4,Very Poor,TRUE,TRUE
RD-064,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-09,06:00,8.9,12.8,4.0,5.3,652,384,518,20.2,7.2,9.3,1.4,27.8,864,28.0,Very Poor,TRUE,TRUE
RD-065,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-10,06:00,9.0,13.5,3.8,5.6,694,410,528,20.8,7.5,9.7,1.5,28.2,876,26.8,Very Poor,TRUE,TRUE
RD-066,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-11,06:00,9.0,13.9,3.7,5.8,720,424,534,21.2,7.8,10.0,1.6,28.6,884,25.8,Very Poor,TRUE,TRUE
RD-067,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-12,06:00,8.9,13.2,3.9,5.5,678,402,524,20.6,7.4,9.6,1.5,28.0,868,27.4,Very Poor,TRUE,TRUE
RD-068,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-13,06:00,8.8,12.6,4.1,5.2,638,380,514,20.0,7.1,9.2,1.4,27.6,856,28.6,Very Poor,TRUE,TRUE
RD-069,CPCB-UP-001,Varanasi,Uttar Pradesh,2026-04-14,06:00,8.9,13.1,3.9,5.4,668,396,520,20.4,7.3,9.5,1.5,27.9,866,27.8,Very Poor,TRUE,TRUE
RD-070,CPCB-BR-001,Patna,Bihar,2026-04-06,06:00,7.8,10.8,5.3,3.2,174,96,324,14.4,2.2,3.9,0.7,25.4,616,52.4,Poor,FALSE,FALSE
RD-071,CPCB-BR-001,Patna,Bihar,2026-04-07,06:00,7.9,11.2,5.1,3.4,186,104,330,14.7,2.3,4.0,0.8,25.6,622,51.8,Poor,FALSE,FALSE
RD-072,CPCB-BR-001,Patna,Bihar,2026-04-08,06:00,7.9,12.0,5.0,3.6,202,114,340,15.0,2.4,4.2,0.8,25.9,632,50.8,Poor,FALSE,FALSE
RD-073,CPCB-BR-001,Patna,Bihar,2026-04-09,06:00,8.0,12.4,4.8,3.8,218,124,350,15.4,2.5,4.3,0.8,26.2,642,49.8,Poor,TRUE,FALSE
RD-074,CPCB-BR-001,Patna,Bihar,2026-04-10,06:00,8.0,12.6,4.8,3.9,228,130,356,15.6,2.6,4.4,0.8,26.4,648,49.2,Poor,TRUE,FALSE
RD-075,CPCB-BR-001,Patna,Bihar,2026-04-11,06:00,8.1,12.8,4.7,4.0,238,136,362,15.8,2.7,4.5,0.9,26.6,654,48.6,Poor,TRUE,FALSE
RD-076,CPCB-BR-001,Patna,Bihar,2026-04-12,06:00,8.1,13.0,4.6,4.1,248,142,368,16.0,2.8,4.6,0.9,26.8,660,48.0,Poor,TRUE,FALSE
RD-077,CPCB-BR-001,Patna,Bihar,2026-04-13,06:00,8.0,12.4,4.8,3.9,228,130,356,15.6,2.6,4.4,0.8,26.4,648,49.4,Poor,TRUE,FALSE
RD-078,CPCB-BR-001,Patna,Bihar,2026-04-14,06:00,8.0,12.4,4.8,3.8,222,126,352,15.4,2.5,4.3,0.8,26.3,644,49.8,Poor,TRUE,FALSE
RD-079,CPCB-WB-001,Kolkata,West Bengal,2026-04-06,06:00,9.3,3.9,5.7,2.5,90,49,286,10.3,1.4,2.2,0.5,27.9,550,58.2,Medium,TRUE,FALSE
RD-080,CPCB-WB-001,Kolkata,West Bengal,2026-04-07,06:00,9.4,4.0,5.7,2.5,92,50,288,10.4,1.4,2.3,0.5,28.0,553,57.8,Medium,TRUE,FALSE
RD-081,CPCB-MH-001,Mumbai,Maharashtra,2026-04-06,06:00,7.2,2.1,6.8,1.4,30,15,249,8.7,0.8,1.2,0.4,26.9,490,78.3,Good,FALSE,FALSE
RD-082,CPCB-TN-001,Chennai,Tamil Nadu,2026-04-06,06:00,7.0,1.8,7.3,1.1,22,10,236,8.0,0.6,0.9,0.3,28.4,468,82.9,Good,FALSE,FALSE
RD-083,CPCB-KA-001,Bengaluru,Karnataka,2026-04-06,06:00,7.2,2.4,6.9,1.5,38,18,261,9.2,1.0,1.4,0.4,24.6,503,79.0,Good,FALSE,FALSE
RD-084,CPCB-GJ-001,Surat,Gujarat,2026-04-06,06:00,7.4,5.9,5.4,2.8,184,99,359,12.5,2.4,3.6,0.7,29.3,655,61.2,Medium,FALSE,FALSE
RD-085,CPCB-DL-001,Delhi,Delhi,2026-04-06,06:00,7.4,5.3,5.2,2.8,126,69,349,14.9,2.4,3.4,0.7,28.3,629,63.2,Medium,FALSE,FALSE
RD-086,CPCB-MP-001,Bhopal,Madhya Pradesh,2026-04-06,06:00,7.1,4.5,5.9,2.2,80,42,298,11.8,1.6,2.4,0.6,27.2,546,70.8,Good,FALSE,FALSE
RD-087,CPCB-RJ-001,Jaipur,Rajasthan,2026-04-06,06:00,7.5,3.0,6.4,1.8,44,22,286,10.8,1.2,1.8,0.5,29.5,524,75.1,Good,FALSE,FALSE
RD-088,CPCB-UP-005,Lucknow,Uttar Pradesh,2026-04-01,06:00,7.6,5.4,5.5,2.6,104,56,318,13.2,1.9,2.8,0.6,27.4,584,66.4,Medium,FALSE,FALSE
RD-089,CPCB-UP-005,Lucknow,Uttar Pradesh,2026-04-05,06:00,7.7,5.6,5.4,2.7,108,59,322,13.5,2.0,2.9,0.7,27.6,590,65.8,Medium,FALSE,FALSE
RD-090,CPCB-UP-005,Lucknow,Uttar Pradesh,2026-04-10,06:00,7.8,5.8,5.3,2.8,114,62,328,13.8,2.1,3.0,0.7,27.9,596,65.0,Medium,FALSE,FALSE
RD-091,CPCB-DL-003,Delhi,Delhi,2026-04-01,06:00,7.5,5.0,5.3,2.7,118,64,342,14.6,2.3,3.3,0.7,28.0,622,64.4,Medium,FALSE,FALSE
RD-092,CPCB-DL-003,Delhi,Delhi,2026-04-07,06:00,7.5,5.1,5.2,2.8,122,67,346,14.8,2.4,3.4,0.7,28.2,626,63.9,Medium,FALSE,FALSE
RD-093,CPCB-DL-003,Delhi,Delhi,2026-04-14,06:00,7.6,5.2,5.2,2.8,126,69,350,15.0,2.4,3.4,0.7,28.4,630,63.4,Medium,FALSE,FALSE
RD-094,CPCB-AS-001,Guwahati,Assam,2026-04-05,06:00,6.9,4.7,5.7,2.4,88,47,310,12.8,1.8,2.7,0.6,26.5,560,69.5,Good,FALSE,FALSE
RD-095,CPCB-PB-001,Amritsar,Punjab,2026-04-08,06:00,7.4,3.7,6.1,1.9,60,31,280,10.6,1.3,1.9,0.5,23.0,530,74.5,Good,FALSE,FALSE
